"","x"
"234","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/MAJzkLRrYS @businessinsider"
"235","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/KzbLg3y5PP @businessinsider"
"236","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/8ycUxlPXe7 @businessinsider"
"237","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/qDxCiNO8st @businessinsider"
"238","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/yNo3SEpHHR @businessinsider"
"239","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/AH6akoDlAG @businessinsider"
"240","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/9a1uWe7I2Q @businessinsider"
"241","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/PozKfVaiQM @businessinsider"
"242","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/WcyKIXkVn4 @businessinsider"
"243","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/phLA6HS0TD @businessinsider"
"244","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/TIX4oGmy8l @businessinsider"
"245","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/4dQQmJmx7M @businessinsider"
"246","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/jHsRg3BN0e"
"247","#business Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Ge... https://t.co/jqF4auwrf0"
"248","Rihanna offered her microphone to an audience member — and what happened next blew everyone aw... https://t.co/ZFY5jwFnaK #business #news"
"249","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/jV3XyPHuw7"
"250","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/zdCqRto5vd"
"251","RT @BI_contributors: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/IazTs0NTAR https://t.co…"
"252","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"253","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"254","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"255","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"256","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"257",".@Rihanna gives one of her fans 15 seconds of fame and a chance to wow the crowd https://t.co/nqHcypX55W"
"258","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"259","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"260","Rihanna -- Fan Steals the Show https://t.co/2gYlRuYugR"
"261","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"262","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"263","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"264","RT @BI_contributors: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/IazTs0NTAR https://t.co…"
"265","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/IazTs0NTAR https://t.co/t4pErMm2iZ"
"266","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/s2MLBh18jQ https://t.co/7DDcQ5Nkgp"
"267","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co/fDaV7AscSJ"
"268","RT @officialcharts: The moment a @Rihanna fan (briefly) stole the show at her concert: https://t.co/Ggd5M0ViDu https://t.co/34stCtuTgN"
"269","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"270","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"271","@rihanna says fan blew her away https://t.co/I8v9NSlzuY"
"272","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"273","RT @RihannaChi: I can believe Thursday will mark my 20th time seeing @rihanna Live in concert! Crazy how the first time was in 2005 and now…"
"274","Rihanna Gets BLOWN AWAY By Fan's AH-Mazing Voice Singing Along Duri.. #celebrity #gossip https://t.co/16bXCKZdIh https://t.co/I08yekGu7i"
"275","This Rihanna fan singing FourFiveSeconds at her concert gonna be on Ellen Show doin’ the whole song in … 3…2… https://t.co/ru6GS6mCLq"
"276","RT @1015KooLFM: WOW @TerahJay sets the bar HIGH 4 future front row concert goers! Unbelievable at @Rihanna's concert! @OnAirTaylor https://…"
"277","RT @RihannaChi: I can believe Thursday will mark my 20th time seeing @rihanna Live in concert! Crazy how the first time was in 2005 and now…"
"278","WOW @TerahJay sets the bar HIGH 4 future front row concert goers! Unbelievable at @Rihanna's concert! @OnAirTaylor https://t.co/M96uxH0Dlu"
"279","RT @RihannaChi: I can believe Thursday will mark my 20th time seeing @rihanna Live in concert! Crazy how the first time was in 2005 and now…"
"280","I can believe Thursday will mark my 20th time seeing @rihanna Live in concert! Crazy how the first time was in 2005 and now into 2016 <ed><U+00A0><U+00BC><ed><U+00BE><U+0088>"
"281","Fan Slays “Four, Five, Seconds” During A @rihanna Concert: See Her Priceless Reaction
https://t.co/eLV1uqiwtu https://t.co/kXOGGbcmSp"
"282","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"283","The Mo Better Daily: Watch This Rihanna Fan Steal The Show At ‘Anti’ Concert [Video] https://t.co/Wh3UeWUI55"
"284","Adele Has A Hilarious Excuse For Not Going To A Rihanna Concert https://t.co/GkhR5s25KI via @refinery29"
"285","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction https://t.co/AV6976xyeN https://t.co/l1EdBoW2hF"
"286","Rihanna -- Fan Steals the Show https://t.co/U1bDJHUs7k via @TMZ"
"287","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction: Four, five seconds till ... https://t.co/QBpVa49sOA"
"288","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"289","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"290","Rihanna Let A Fan Sing At Her Concert And Got A Bit Of A Shock https://t.co/1nPjeDe9IV"
"291","PinkIsTheNewBlog - Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction https://t.co/ZyWJhTZGN7"
"292","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction: Four, five seconds till ... https://t.co/bW3zRyhePc"
"293","RT @KiSS925: You've got to WATCH @rihanna 's reaction to a fans killer voice! https://t.co/TKcyefZSSz - @BlakeAndWylde https://t.co/EDRWGXW…"
"294","RT @KiSS925: You've got to WATCH @rihanna 's reaction to a fans killer voice! https://t.co/TKcyefZSSz - @BlakeAndWylde https://t.co/EDRWGXW…"
"295","You've got to WATCH @rihanna 's reaction to a fans killer voice! https://t.co/TKcyefZSSz - @BlakeAndWylde https://t.co/EDRWGXWHCg"
"296","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction: Four, five seconds till… https://t.co/uHs2fm0X1C"
"297","RT @ScT07: Rihanna -- Fan Steals the Show https://t.co/8OoVlOX8BY via @TMZ"
"298","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/nE5vTUPd19 #Rihanna"
"299","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"300","This Rihanna Fan Shocked Everyone When He Stole The Show At Her Concert - SELF https://t.co/vY0uaF5hqp"
"301","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/8YTZqY6LT9"
"302","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/2hP9xksEYt"
"303","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/jayxTjNefG"
"304","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/tl0073vmPp"
"305","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/jckkqYI42Q"
"306","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/uQXexD9w1i"
"307","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/SP8X6F3KOv"
"308","Watch Rihanna's Reaction After Letting A Fan Sing Along With Her During Concert: Currently on her ANTI tour, R... https://t.co/nimbjT369u"
"309","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"310","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"311","RIHANNA Announces New Album and 2016 Tour Dates! Get more Tour Info here https://t.co/UC2Kn8KggN #Rihanna #AnitWorldTour"
"312","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"313","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/u2hw5ey8jg via @theblaze"
"314","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"315","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"316","Rihanna -- Fan Steals the Show https://t.co/8OoVlOX8BY via @TMZ"
"317","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn’t Ready for What He Did With the Rare Opportunity https://t.co/8YOI88x8mJ"
"318","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/1kiqEjSC85 is Slashing… https://t.co/3wpoGBUznU https://t.co/OZoLlJQQnp"
"319","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"320","ENTER FOR A CHANCE TO WIN RIHANNA Concert Tickets!
Wed Apr 13th, 2016, 7:30PM https://t.co/blPMvXWgJs"
"321","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"322","Rihanna Briefly Gives via @TheBlaze https://t.co/N3nCnp7pSN"
"323","Rihanna -- Fan Steals the Show https://t.co/p1jrwy8kRW via @TMZ"
"324","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"325","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"326","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"327","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/XUqYSXGDiw is Slashing… https://t.co/Fd5D94SmIS https://t.co/mNPtk9mSPn"
"328","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"329","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"330","RT @SFpartytime: Who’s fundraising at tomorrow's @rihanna concert at Verizon Center? https://t.co/l3TdS5WvLK via @emilyaheil https://t.co/C…"
"331","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"332","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"333","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"334","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"335","A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"336","RT @SFpartytime: Who’s fundraising at tomorrow's @rihanna concert at Verizon Center? https://t.co/l3TdS5WvLK via @emilyaheil https://t.co/C…"
"337","RT @SFpartytime: Who’s fundraising at tomorrow's @rihanna concert at Verizon Center? https://t.co/l3TdS5WvLK via @emilyaheil https://t.co/C…"
"338","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/t0FIC0TUVJ is Slashing… https://t.co/4RoiAZ56Ii https://t.co/QVGMhFxNeH"
"339","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"340","Rihanna -- Fan Steals the Show https://t.co/lUVopYLOwa"
"341","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/t0FIC0TUVJ is Slashing… https://t.co/GEDLwqmDn5 https://t.co/bTqjH43cpv"
"342","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"343","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"344","See Rihanna’s Stunned Reaction When She Hands the Mic to Fan Who Can Really Sing https://t.co/OUd5BYYu4h @TIME https://t.co/sbdHvhkGQa"
"345","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"346","See Rihanna’s Stunned Reaction When She Hands the Mic to Fan Who Can Really Sing https://t.co/4N4lWKInyE https://t.co/gDkZBRwNYJ"
"347","Who’s fundraising at tomorrow's @rihanna concert at Verizon Center? https://t.co/l3TdS5WvLK via @emilyaheil https://t.co/CvI49IMkjo"
"348","Rihanna -- Fan Steals the Show https://t.co/vE9gVhUYUh via @TMZ you can Saaannnng lol"
"349","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/IIUOnYBMJH via @theblaze"
"350","RT @techinsider: Rihanna offered her mic to an audience member — and what happened next blew everyone away https://t.co/4KVgTLEAXZ https://…"
"351","Video: Fan blows Rihanna away with his impressive sing-along during her concert https://t.co/7rHIGatAUA"
"352","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"353","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"354","#Time See Rihanna’s Stunned Reaction When She Hands the Mic to Fan Who Can Really Sing. https://t.co/sjKhhruUF7 https://t.co/eBujI5ziwn"
"355","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"356","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"357","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"358","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/F4sM5xXI0D is Slashing… https://t.co/J5467weIeu https://t.co/R6WHwqk5o6"
"359","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"360","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"361","Who's fundraising at the Rihanna concert? https://t.co/Z6MlvVPkt9"
"362","Rihanna Tickets in Brooklyn, NY at the Barclays Center: https://t.co/F4sM5xXI0D is Slashing… https://t.co/Sf8UCeMo94 https://t.co/coY1jfRWEV"
"363",".@rihanna's priceless reaction to one fan who stole her 'Anti' show is the absolute best! https://t.co/TPd6OGaPf1 https://t.co/8aPmARcsT0"
"364","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"365","RT @RapUp: Drake and Rihanna met with a young cancer patient for Make-A-Wish https://t.co/5b64QyUhcd https://t.co/RCNN2jPL4R"
"366","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"367","Rihanna left stunned as fan steals the show with amazing performance at her concert https://t.co/srU1LAgnHE https://t.co/y26fY2tcCN"
"368","Rihanna left stunned as fan steals the show with amazing performance at her concert https://t.co/1eIDMXJj4X https://t.co/8og3uRFYkD"
"369","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"370","HarveyLevinTMZ: Rihanna -- Fan Steals the Show https://t.co/I30uFhw8S1 Check out her duet with a fan in the front row... What do you think…"
"371","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"372","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"373","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/MIXxsciQQD #FashionFiles"
"374","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/5pH4XnHAfd #FashionFiles"
"375","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"376","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/6hw00z9rwx"
"377","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/oQ79fTG9wI https://t.co/3ptpfm5g8S"
"378","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"379","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"380","Who's fundraising at the Rihanna concert? https://t.co/pN7J0aN7YE #fundraising"
"381",".@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/PAN5JVsbnD"
"382","RT @HarveyLevinTMZ: Rihanna -- Fan Steals the Show https://t.co/vdjMGLELht Check out her duet with a fan in the front row... What do you th…"
"383","LADY TECNIQ NEWS Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/nDF5PfX2hi"
"384","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"385","Rihanna -- Fan Steals the Show https://t.co/vdjMGLELht Check out her duet with a fan in the front row... What do you think of his chops?"
"386","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"387","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"388",".@rihanna's face is priceless when she gives this fan the mic at her concert! No one saw that coming... https://t.co/oEXcc3uI0m"
"389","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"390","[WATCH] Rihanna Was Shocked by Fan’s Vocals at Her Concert! « ENERGY 103.7 https://t.co/mstpeDTwtQ"
"391","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"392","#fashion #style Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/Z9r5Knynjm https://t.co/si8hZSeH12"
"393","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic: One of Rihanna's biggest fans TJ (@tera... https://t.co/mXFCLrMcG1"
"394","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/PJENJldPUj"
"395","Rihanna Gets BLOWN AWAY By Fans AH-Mazing Voice Singing Along During Her Conce... https://t.co/pn1j9NegMW #Celebrity https://t.co/2rqVQYp7fU"
"396","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"397","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/SVKvM8CWaH"
"398","RT @theblaze: .@rihanna briefly gives fan the mic during concert – She wasn't ready for what he did with the rare opportunity: https://t.co…"
"399","You Have to See Rihanna’s Priceless Reaction to Her Fan’s Amazing Voice in Concert https://t.co/uRmSmXbCps"
"400","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"401","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"402","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"403","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"404","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"405","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"406","Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.co/5rBhwUqVau"
"407","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"408","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic: One of Rihanna's biggest fans TJ (@tera... https://t.co/oSRheFFKlw"
"409","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"410","Rihanna offered her microphone to an audience member — and what happened next blew everyone… https://t.co/ImxwG4Qhm4"
"411","RT @CardLinda: He did a good job. https://t.co/LFlhuWMhHL"
"412","RT @MaximMag: Watch what happens when @rihanna hands the mic to a fan at a concert. https://t.co/7L6ya2uGIK"
"413","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/WItm6EH5zH"
"414","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"415","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"416","He did a good job. https://t.co/LFlhuWMhHL"
"417","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"418","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/mX6oUGBYjT #leonardsimpsonTV #fashion"
"419","RT @techinsider: Rihanna offered her mic to an audience member — and what happened next blew everyone away https://t.co/4KVgTLEAXZ https://…"
"420","Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic: One of Rihanna's biggest fans TJ (@tera... https://t.co/R1kSIT4LJ1"
"421","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: 
Rihanna is ... https://t.co/PkIqLWy7iN"
"422","Reliable Source: Who’s fundraising at the Rihanna concert?: Consider this a missed opportunity — only one poli... https://t.co/ijhmIbnay1"
"423","RT @techinsider: Rihanna offered her mic to an audience member — and what happened next blew everyone away https://t.co/4KVgTLEAXZ https://…"
"424","Rihanna -- Fan Steals the Show https://t.co/jFUkMK1XsC via @TMZ https://t.co/a0czYbRiyj"
"425","CHELYNN NEWS Rihanna's Reaction After Hearing a Fan's Voice at Her Concert Is Epic https://t.co/If4JrIuZm5"
"426","Rihanna offered her mic to an audience member — and what happened next blew everyone away https://t.co/4KVgTLEAXZ https://t.co/tH3x9F3TV1"
"427","Rihanna -- Fan Steals the Show https://t.co/HqfDclXkLN"
"428","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"429","RT @officialcharts: The moment a @Rihanna fan (briefly) stole the show at her concert: https://t.co/Ggd5M0ViDu https://t.co/34stCtuTgN"
"430","Rihanna -- Fan Steals the Show: Rihanna gave one of her fans an ""Idol"" chance to sing in front of thousands… https://t.co/05TxQrVYu0 #gossip"
"431","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"432","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"433","RIHANNA Announces New Album and 2016 Tour Dates! Get more Tour Info here https://t.co/OjnWTzV7aB #Rihanna #AnitWorldTour"
"434","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"435","RT @965ampradio: Rihanna stunned by fan at concert! https://t.co/hnH8XejJAB"
"436","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"437","Reliable Source: Who’s fundraising at the Rihanna concert? Consider this a missed opportunity — only one political… https://t.co/emAcEmRoDD"
"438","RT @CelebrityHour: Rihanna -- Fan Steals the Show https://t.co/67I8vLDyX1 #CelebrityHour https://t.co/zETNeEuZej"
"439","This Rihanna Fan Shocked Everyone When He Stole The Show At Her Concert https://t.co/odL6TbcZdu"
"440","RT @TMZLive: Rihanna brought her ""ANTI"" world tour to Cincinnati on Saturday, but it was a fan in the crowd who stole the show. https://t.c…"
"441","#cars #parts Who’s fundraising at the Rihanna concert?:     Consider this a missed opportunity — only one poli... https://t.co/8rhgyPV4wE"
"442","#GetReliable Who’s fundraising at the Rihanna concert?:     Consider this a missed opportunity — only one poli... https://t.co/sxV0Gix3PH"
"443","Who’s fundraising at the Rihanna concert?:     Consider this a missed opportunity — only one political hopeful... https://t.co/e4uygyUshr"
"444","Rihanna stunned by fan at concert! https://t.co/hnH8XejJAB"
"445","RT @reliablesource: Who’s fundraising at the Rihanna concert? https://t.co/gP1i3GNjEO"
