"","x"
"52","#Rihanna Has The Best Reaction To A Fan Singing At Her Concert https://t.co/B3t8Njxdgu https://t.co/DD7eDE7UgD"
"53","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"54","RT @K92radio: Rihanna fan completely shocks her with his amazing vocals during concert. https://t.co/J3QBPDQ3mu"
"55","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"56","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"57","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"58","At the Rihanna concert!!! #zeenresa @ Rihanna: Anti World Tour 2016 https://t.co/QLV6yonTll"
"59","patelankit : Last minute Rihanna concert. (at VerizonCenterPr for Rihanna: Anti World Tour 2016 in Washington, DC)… https://t.co/Fl6n6EJlju)"
"60","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"61","Last minute Rihanna concert. (at @VerizonCenterPr for Rihanna: Anti World Tour 2016 in Washington, DC) https://t.co/B6Easp0SiT"
"62","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"63","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"64","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"65","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"66","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"67","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"68","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"69","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"70","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"71","Rihanna concert <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> (at @VerizonCenterPr for Rihanna: Anti World Tour 2016 in Washington, DC) https://t.co/4zluGPg36u"
"72","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"73","#youtube Rihanna Full Concert 2016 https://t.co/I4wjvQxHdg"
"74","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"75","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"76","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"77","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"78","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"79","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"80","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"81","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"82","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"83","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"84","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"85","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"86","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"87","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"88","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"89","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"90","Tickets on sale now:
https://t.co/O2bTEuAKXX"
"91","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"92","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"93","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"94","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"95","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"96","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"97","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"98","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"99","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"100","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"101","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"102","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"103","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"104","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"105","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"106","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"107","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"108","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"109","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"110","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"111","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"112","RIHANNA Announces New Album and 2016 Tour Dates! Get more Tour Info here https://t.co/OjnWTzV7aB #Rihanna #AnitWorldTour"
"113","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"114","Who’s fundraising at the @rihanna concert tonight in #DC? https://t.co/B7XNsXBR7j via @emilyaheil @SFpartytime #Work"
"115","RT @NewsdeskInsider: Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... http…"
"116","Rihanna fan completely shocks her with his amazing vocals during concert. https://t.co/J3QBPDQ3mu"
"117","RT @NewsdeskInsider: Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... http…"
"118","March 22, 2016 at 05:09PM - rihanna, fan, omg, concert, shocked, wut, microphone More Tren… https://t.co/D8p679m2P5 https://t.co/qgKkE5NcKv"
"119","@matt_lissack How is this for a reaction? lol
 https://t.co/lblMZSkCGL"
"120","[WATCH] Rihanna Gets BLOWN AWAY By Fan’s Amazing Voice Singing Along During Her Concert!… https://t.co/WAQUSA7kcn https://t.co/sz5t0oWhpQ"
"121","Grand prize draw is THURSDAY morning! #Rihanna #JayandMorgan @StricklandsAuto https://t.co/YECnuQJ5OF"
"122","AM BUZZ: Rihanna Stunned By Fan At Concert https://t.co/1SGElqnFXp"
"123","To Do Today: Laughing Man, Rihanna, and Jim Lauderdale: See an outrageous pop concert or a ridiculous… https://t.co/erIPQQnpNg | @wcp"
"124",".@rihanna discovers amazing singer @TerahJay during her concert https://t.co/Bapm4vPi52 https://t.co/Vj7xO8OBJj"
"125","Amazing! RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/jvyXwPJVAg https://t.co/SPgDz6AxJL"
"126","Rihanna Fan Shocks Her With His Voice at “ANTI” Concert https://t.co/DFqJMxhwLX https://t.co/bqrzPg1kU1"
"127","Rihanna Fan Shocks Her With His Voice at “ANTI” Concert https://t.co/3IbxsnHu1W https://t.co/KxoYUJcl0l"
"128","Rihanna -- Fan Steals the Show https://t.co/neF4yxNbNp via @TMZ"
"129","To Do Today: Laughing Man, Rihanna, and Jim Lauderdale: See an outrageous pop concert or a ridiculous tribute ... https://t.co/01s6sZnmWy"
