id,texte,note,label
0,"J'ai acheté le dernier iPhone 16, et j'en suis ravie. Je l'ai reçu en parfaite état et sans aucun problème. Je recommande.",5,positif
1,Couleur outremer superbe! La batterie tient très bien! Tout est parfait,5,positif
2,"J'ai acheté le dernier iPhone 16, et j'en suis ravie. Je l'ai reçu en parfaite état et sans aucun problème. Je recommande.",5,positif
3,Couleur outremer superbe! La batterie tient très bien! Tout est parfait,5,positif
4,"J'ai acheté le dernier iPhone 16, et j'en suis ravie. Je l'ai reçu en parfaite état et sans aucun problème. Je recommande.",5,positif
5,Couleur outremer superbe! La batterie tient très bien! Tout est parfait,5,positif
6,"J'ai acheté le dernier iPhone 16, et j'en suis ravie. Je l'ai reçu en parfaite état et sans aucun problème. Je recommande.",5,positif
7,Couleur outremer superbe! La batterie tient très bien! Tout est parfait,5,positif
